iso,countryname,year,rGDP,nGDP,deflator,govdebt_GDP,govdef,cbrate,CA_GDP,USDfx
BEL,Belgium,1979,42448.52734375,84538.0703125,1.9915430545806885,66.32599639892578,-7782.9248046875,10.5,-1.940377116203308,0.7268030047416687
BEL,Belgium,1980,48232.4296875,91938.5703125,1.9061567783355713,74.74259948730469,-9654.8212890625,12,-2.613595485687256,0.7238159775733948
BEL,Belgium,1981,50428.32421875,96393.5078125,1.911495327949524,87.28759765625,-15621.1669921875,15,-2.335097551345825,0.9213129878044128
BEL,Belgium,1982,54893.39453125,104307.84375,1.9001893997192383,96.96843719482422,-13149.900390625,11.5,-0.943649411201477,1.1348379850387573
BEL,Belgium,1983,58336.62109375,110506.0234375,1.8942822217941284,107.33786010742188,-16208.7890625,10,0.692096471786499,1.268960952758789
BEL,Belgium,1984,64580.91015625,119389.8671875,1.848686695098877,111.5461196899414,-12301.4423828125,11,1.1673961877822876,1.4319900274276733
BEL,Belgium,1985,69820.2109375,126978.2578125,1.8186461925506592,116.19281005859375,-12885.5703125,9.75,2.0541651248931885,1.4699560403823853
BEL,Belgium,1986,74413.265625,132908.8125,1.7860902547836304,121.33401489257813,-13381.470703125,8,3.191882371902466,1.1066279411315918
BEL,Belgium,1987,79197.46875,138264.515625,1.7458199262619019,125.77046203613281,-10890.953125,7,2.387752056121826,0.9255949854850769
BEL,Belgium,1988,88739.359375,147935.640625,1.667080283164978,126.21666717529297,-10891.1005859375,7.75,2.821080207824707,0.9123010039329529
BEL,Belgium,1989,99560.9296875,160411.125,1.6111854314804077,123.0260009765625,-12110.5361328125,10.25,2.746546745300293,0.9771850109100342
BEL,Belgium,1990,108884.6875,170096.8125,1.562173843383789,126.82066345214844,-11433.7431640625,10.5,2.6116244792938232,0.8281559944152832
BEL,Belgium,1991,116161.2421875,178197.5625,1.5340535640716553,128.20228576660156,-12983.1064453125,9.800000190734863,3.024947166442871,0.8478620052337646
BEL,Belgium,1992,123845.1875,187120.984375,1.510926604270935,129.79891967773438,-14915.2548828125,9.100000381469727,3.6853628158569336,0.7960659861564636
BEL,Belgium,1993,126324.921875,192721.40625,1.525600790977478,135.41644287109375,-14201.544921875,8.949999809265137,5.073896884918213,0.8576300144195557
BEL,Belgium,1994,137428.546875,203106.890625,1.4779090881347656,133.3951416015625,-10208.833984375,6.349999904632568,5.092033863067627,0.8281880021095276
BEL,Belgium,1995,145820.03125,210489.09375,1.4434854984283447,131.4905548095703,-9472.0087890625,5,4.690014839172363,0.7312840223312378
BEL,Belgium,1996,150412.890625,214287.09375,1.4246591329574585,129.201904296875,-8571.4833984375,4.25,4.352294921875,0.767425000667572
BEL,Belgium,1997,163269.3125,224101.5,1.372588038444519,124.3283920288086,-4930.23291015625,4.550000190734863,4.8061699867248535,0.8871260285377502
BEL,Belgium,1998,172803.046875,232623.796875,1.3461787700653076,119.3331069946289,-2326.238037109375,4.5,4.498290538787842,0.8993710279464722
BEL,Belgium,1999,186373.421875,242307.59375,1.3001188039779663,115.40281677246094,-1453.8455810546875,1.75,4.397556304931641,0.9395769834518433
BEL,Belgium,2000,204523.6875,256376.40625,1.2535291910171509,109.74754333496094,-256.37640380859375,3.25,3.4832348823547363,1.0858980417251587
BEL,Belgium,2001,213191.296875,264334.8125,1.239894986152649,108.47769165039063,528.66961669921875,3.0625,2.930020570755005,1.117514967918396
BEL,Belgium,2002,224148.09375,273255.90625,1.2190864086151123,105.57473754882813,-119.4000015258789,2.125,3.9927353858947754,1.0609450340270996
BEL,Belgium,2003,233058.953125,281200.1875,1.2065625190734863,101.84164428710938,-5342.8037109375,1.125,3.546583652496338,0.8857560157775879
BEL,Belgium,2004,254789.6875,296819.6875,1.1649595499038696,97.21110534667969,-593.639404296875,1,3.2898759841918945,0.80485600233078
BEL,Belgium,2005,272314.875,310037.59375,1.1385260820388794,95.2416763305664,-8371.015625,1.0625,2.0936169624328613,0.8051109910011292
BEL,Belgium,2006,292879,325151.40625,1.1101902723312378,91.52352142333984,650.30279541015625,1.9375,1.9286400079727173,0.7971680164337158
BEL,Belgium,2007,320894.09375,343618.90625,1.070817232131958,87.48043060302734,343.618896484375,2.9375,1.9565279483795166,0.730754017829895
BEL,Belgium,2008,329949,351743,1.0660526752471924,93.17103576660156,-3869.173095703125,2.8125,-1.0058480501174927,0.6834989786148071
BEL,Belgium,2009,319970.5,347734.90625,1.0867717266082764,99.88008117675781,-18777.685546875,0.3125,1.651257872581482,0.7189580202102661
BEL,Belgium,2010,343298.84375,363242.40625,1.0580939054489136,100.30561065673828,-14892.9384765625,0.25,1.6234338283538818,0.7558680176734924
BEL,Belgium,2011,364863.3125,378745.40625,1.038047432899475,102.84901428222656,-16664.798828125,0.4375,-1.9255679845809937,0.7192069888114929
BEL,Belgium,2012,374522.5,387935,1.035812258720398,104.37277221679688,-16681.205078125,0.125,-0.08094139397144318,0.7788479924201965
BEL,Belgium,2013,382136.65625,394616.1875,1.032657265663147,105.0716323852539,-12627.7177734375,0,0.9505438208580017,0.7532340288162231
BEL,Belgium,2014,399075.1875,404958.3125,1.0147418975830078,106.64398956298828,-12958.666015625,-0.125,0.7679803371429443,0.753940999507904
BEL,Belgium,2015,415538,415538,1,105.69264221191406,-10388.4501953125,-0.22499999403953552,1.3868768215179443,0.9018959999084473
BEL,Belgium,2016,433580.6875,428467.09375,0.988206148147583,105.7708740234375,-10283.2109375,-0.4000000059604645,0.5536014437675476,0.9038900136947632
BEL,Belgium,2017,455315,443407.09375,0.9738469123840332,102.63157653808594,-3547.2568359375,-0.4000000059604645,0.7009360194206238,0.8870390057563782
BEL,Belgium,2018,480692.5,459491.8125,0.9558955430984497,100.15623474121094,-4594.91796875,-0.4000000059604645,-0.9151414632797241,0.8475819826126099
BEL,Belgium,2019,513819.03125,479445,0.9331008791923523,97.693145751953125,-9588.900390625,-0.44999998807907104,0.12368467450141907,0.893409013748169
BOL,Bolivia,1978,0.02730495296418667,0.07500000298023224,2.7467544078826904,82.486572265625,-0.007474522106349468,13,-8.8206634521484375,1.9999999494757503e-5
BOL,Bolivia,1979,0.03279785439372063,0.09000000357627869,2.744081974029541,92.032928466796875,-0.010041479952633381,18,-8.979186058044434,1.9999999494757503e-5
BOL,Bolivia,1980,0.03989579156041145,0.11125899851322174,2.7887401580810547,100.02157592773438,-0.01699821837246418,19.899999618530273,-0.14104746282100677,2.499999936844688e-5
BOL,Bolivia,1981,0.051944658160209656,0.1444620043039322,2.7810752391815186,121.70469665527344,-0.013937694020569324,26,-7.937488079071045,2.499999936844688e-5
BOL,Bolivia,1982,0.1238037720322609,0.35842499136924744,2.8951056003570557,155.37689208984375,-0.05698598921298981,37,-3.1037018299102783,6.399999983841553e-5
BOL,Bolivia,1983,0.41631606221199036,1.2560499906539917,3.0170586109161377,157.2958984375,-0.2486853301525116,61,-2.597140312194824,2.3200000578071922e-4
